asset,signal,DATE,Asset,take_profit,stop_loss
VGT,0,,,,
,0,2023-01-25,AAPL,0.0,0.0
,0,2023-01-25,AMZN,0.0,0.0
,0,2023-01-25,TSLA,0.0,0.0
